,outcome_id,outcomes,mnemonic,active
0,1,Research documentation on your own as a first line of action,ds_tech_bootcamp,True
1,2,Describe the components of a computer,ds_tech_bootcamp,True
2,3,Explain the scales of computational power and scales of data,ds_tech_bootcamp,True
3,4,"Differentiate between Windows, MacOS ,and Linux operating systems",ds_tech_bootcamp,True
4,5,Compare Command Line (CLI) and Graphical User Interface (GUI) shells,ds_tech_bootcamp,True
5,6,Demonstrate installing software to your computer,ds_tech_bootcamp,True
6,7,Implement important tasks with Linux,ds_tech_bootcamp,True
7,8,Create a GitHub account for career or personal use,ds_tech_bootcamp,True
8,9,Use CLI to operate Git software for version control,ds_tech_bootcamp,True
9,10,Use GUI to operate Github website interface for version control,ds_tech_bootcamp,True
10,11,Know how to Install R,ds_tech_bootcamp,True
11,12,Know how to install and launch Rstudio,ds_tech_bootcamp,True
12,13,Know how to install Anaconda,ds_tech_bootcamp,True
13,14,Know how to launch Spyder,ds_tech_bootcamp,True
14,15,Know how to launch Jupyter Notebook,ds_tech_bootcamp,True
15,16,Understand and use language models such as bag of words,ds5001,True
16,17,Understand and use vector space models,ds5001,True
17,18,Understand how to measure similarity between documents,ds5001,True
18,19,Understand how Principal Component Analysis (PCA) works,ds5001,True
19,20,Understand and use topic models such as Latent Dirichlet Allocation (LDA),ds5001,True
20,21,Understand and use word embedding such as glove and word2vec,ds5001,True
21,22,Understand and use sentiment analysis such as VADER,ds5001,True
22,23,Understand and use Naive Bayes classification,ds5001,True
23,24,Have a working knowledge of parallel computing and apply this knowledge for improved computing efficiency,cs5012,True
24,25,"Select, Computationally Assess, and Deploy appropriate and efficient data structures and algorithms to solve Data Science problems",cs5012,True
25,26,"Define and Use Logic, Data Structures, and Algorithms to Solve Problems ",cs5012,True
26,27,"Connect, Transform, and Reduce Real-World Problems to Classical Problem Frameworks to make use of existing, efficient algorithmic solutions",cs5012,True
27,28,Independently Explore advanced or supplementary topics to attain a deeper and complimentary understanding of topics,cs5012,True
28,29,"Reflect on peer-feedback, instructor-feedback, experiences, and lessons-learned related to the use of data structures and algorithms to make continual improvements and updates to methodologies applied ",cs5012,True
29,30,Have a working knowledge of the Algorithm Complexity Class Hierarchy in order to gain perspective of the scope of the field and its contextual application to Data Science ,cs5012,True
30,31,Design and understand regular expressions for pattern matching,cs5012,True
31,32,Understand the important considerations for proper database design,cs5012,True
32,33,Basic Dataframe operations (Python and R),ds5100,True
33,34,Clone a repo on GitHub,ds5100,True
34,35,Confidently work in an appropriate programming environment (IDE),ds5100,True
35,36,Confidently write a class and call its methods to simulate a scenario,ds5100,True
36,37,Confidently write and call functions in both Python and R,ds5100,True
37,38,Correctly pass parameters and retrieve function output(s),ds5100,True
38,39,"Data structures (e.g., sequences and collections: set, list, dict, tuple)",ds5100,True
39,40,Demonstrate how methods are inherited from base classes,ds5100,True
40,41,"Essential primitives (e.g., bool, int, float)",ds5100,True
41,42,Find and utilize resources including online documentation,ds5100,True
42,43,"I/O: at least three different formats, including csv, txt, JSON",ds5100,True
43,44,Identify and utilize primitive data types and data structures [Built in],ds5100,True
44,45,Import data into a Pandas Dataframe,ds5100,True
45,46,Incorporating some exception handling,ds5100,True
